CSS1,,0,Citizen Access,Supports Citizens to access their services safely and securely. Also supports Citizens in viewing and updating Patient information online.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/552075388/Citizen+Access
CSS2,,0,Common Reporting,"Supports the local, regional and national reporting requirements of a General Practice. Report templates can be defined with search criteria and data can be interrogated at different levels.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/275185997/Common+Reporting
CSS3,,0,Mobile Working,Supports clinicians accessing information from a supported mobile device from any location.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/153321496/Mobile+Working
CSS4,,0,Appointments Management - Citizen,"This capability will allow Citizens to view, book and cancel appointments with the ability to add additional information, Appointments slots and their availability are configured by the Practice.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/69926984/Manage+Appointments+-+Citizen
CSS5,,0,Appointments Management - GP,"Supports the day to day recording, configuration, planning and scheduling of appointments in the Practice. Functionality also includes Practice reporting on appointments data.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/97550757
CSS6,,0,Clinical Decision Support,Support decision making activities at the point of care by interacting with the Clinician via alerts to improve safety for the Patient. Functionality will also support auditing of decision making activity,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/226918754/Clinical+Decision+Support
CSS7,,0,Communicate With Practice - Citizen,"Gives Citizens the ability to create, view and respond to communications with the Practice. Configured Practice Users and groups can be set up as suitable recipients of communications.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/69926932/Communicate+With+Practice+-+Citizen
CSS8,,0,Digital Diagnostics,"Functionality will cater for electronic requesting for Patients, for example Pathology and Radiology. Test results can be received, reviewed and stored against the Patient record.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/506366069/Digital+Diagnostics
CSS9,,0,Document Management,"Have the ability to store and retrieve documents of varying formats which may or may not relate to Patients. Supports the management of documentation which includes secure tracking, categorisation, and annotation.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/142802997/Document+Management
CSS10,,0,GP Extracts Verification,Gives the ability to extract and send data to the calculating quality reporting service. Searching and reporting functionality will be provided to establish Patients included and excluded from the data extract.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/555024671/GP+Extracts+Verification
CSS11,,0,GP Referral Management,Have the ability to record and review electronic referrals for Patients to other services. This will support recording referral information against the Patient Record and Patient based reporting on referrals,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/452985309/GP+Referral+Management
CSS12,,0,GP Resource Management,"Be able to record information about the General Practice, staff and related organisations. Will also have the ability to record staff working availability and non-human resources (e.g. rooms)",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/578486928/GP+Resource+Management
CSS13,,0,Patient Information Maintenance,"Have the ability to record data, organise and search for Patient Records; with the ability to produce some Patient based reporting. Also have the ability to configure Patient and Proxy access to Citizen Services.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/206143859/Patient+Information+Maintenance
CSS14,,0,Prescribing,Be able to to record various types of Prescriptions and appliances and be able to review them for Patients. Supporting information required for prescribing will also be accessible which includes listed items to prescribe and drug tariff information.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/122126414/Prescribing
CSS15,,0,Prescription Ordering - Citizen,"Citizens can view, request and amend different types of prescription requests. Nominated pharmacies for electronic prescription requests can be chosen and amended.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/66650232/Order+Prescriptions+-+Citizen
CSS16,,0,Recording Consultations,Have the ability to record different types of consultations and specific data relating to consultations giving a more complete Patient record. Also supports the ability to create and share data entry forms which relate to consultations.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/118292928/Recording+Consultations
CSS17,,0,Reporting,This capability will support the analysis of data locally for Practices. Data from other capabilities can be consumed and analysed to support clinical care and management of the Practice,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/321650709/Reporting
CSS18,,0,Scanning,This capability supports the conversion of paper based documentation into a digital format which will also give the ability for image enhancement to control the quality of the conversion.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/308610268/Scanning
CSS19,,0,Telecare,"Provide ability for the Patient to share data to support monitoring of Patients, remote care and communication. Functionality will also include alert triggers to actively manage the Patients care.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/256770138/Telecare
CSS20,,0,Unstructured Data Extraction,Provides functionality to able to extract information from documents for Practice use such as populating Patient data and associating Clinical Codes against the document when associating with Patient Records.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/308445974/Unstructured+Data+Extraction
CSS21,,0,View Record - Citizen,This capability will cater for Citizens being able to view relevant data from their Patient Record remotely. Access to Patient Record data will be configured by the Practice.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/69599244/View+Record+-+Citizen
CSS22,,0,Workflow,"Supports days to day activities of the practice by defining, creating and allocating tasks and workflow items to Practice staff. Also allows for monitoring resource with reports, for example on workflow statuses and end dates for completion.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/97616243/Workflow
INT1,,0,111,Standard to support the NHS111 CDA messages sent to GPs.,https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/621412807/111
INT2,,0,Child Health Eventing,"The Maternity and Digital Child Health programmes are planning to implement event-based, publish-subscribe messaging for Maternity and Child Health, e.g. immunisations and an electronic red book. NHS Digital intends to develop an event management service to support this implementation. An ISN is expected to be published in February 2019.",https://gpitbjss.atlassian.net/wiki/spaces/ISDNU/pages/512328528/Child+Health+Eventing
